,age,EdType,maritalstatus,occupation,relationship,race,gender,capitalgain,capitalloss,hoursperweek,SalStat,target
101,27,0,1,8,0,0,1,0,0,40,0,0
102,27,1,2,4,2,0,1,0,0,50,0,0
103,32,0,1,12,0,0,0,0,0,45,0,0
104,58,9,2,11,5,0,0,0,0,8,0,0
105,35,1,2,13,2,0,1,0,0,40,0,5
106,21,0,1,12,1,0,1,0,0,36,0,0
107,28,1,1,3,4,0,1,0,0,40,0,0
108,46,1,0,5,0,0,1,0,0,50,0,4
109,36,0,5,11,4,0,0,0,0,40,0,4
110,72,3,3,0,4,0,0,0,0,40,0,0
111,35,0,2,6,5,1,0,0,0,40,0,0
112,33,4,0,3,4,1,0,0,0,40,1,1
113,69,3,1,6,0,0,0,0,0,40,0,0
114,35,0,2,6,2,0,1,0,0,40,0,0
115,34,0,2,10,5,0,0,0,0,32,0,0
116,30,3,2,11,2,0,1,0,0,40,0,0
117,28,6,1,8,0,0,1,0,0,55,0,0
118,54,6,2,4,2,0,1,0,0,35,1,0
119,47,1,2,2,2,0,1,0,0,50,1,0
120,24,0,1,12,4,1,0,0,0,40,0,0
121,52,6,2,2,2,0,1,0,0,60,1,4
122,20,0,1,12,1,2,1,0,0,48,0,0
123,43,8,2,5,2,0,1,5013,0,45,0,3
124,45,14,5,11,4,0,0,0,0,40,0,0
125,29,0,5,3,0,0,1,0,0,35,0,4
126,47,8,0,5,4,0,1,0,0,42,0,0
127,24,0,1,3,1,0,1,0,0,40,0,0
128,51,0,2,2,2,0,1,0,0,40,0,0
129,17,3,1,4,1,0,1,0,0,12,0,0
130,37,4,2,3,2,0,1,0,1977,40,1,0
131,27,13,1,2,0,0,0,0,0,70,0,0
132,29,6,2,5,5,0,1,0,0,40,1,0
133,18,10,1,7,1,0,1,0,0,25,0,2
134,36,5,0,4,4,0,0,0,0,35,0,4
135,58,6,1,2,0,0,0,0,0,40,0,5
136,26,1,2,3,2,0,1,0,0,45,0,4
137,65,1,2,7,2,0,1,0,0,30,1,2
138,57,0,2,4,2,0,1,0,0,40,1,0
139,59,0,2,3,2,0,1,0,0,40,0,0
140,27,0,2,6,2,0,1,0,0,40,0,0
141,31,6,1,10,0,0,1,0,0,40,0,4
142,21,1,1,4,1,0,0,0,0,24,0,0
143,29,1,1,0,0,0,1,0,0,60,0,0
144,18,3,1,11,1,0,1,0,0,40,0,0
145,52,9,2,3,2,0,1,0,1887,47,1,0
146,57,6,0,2,0,0,1,0,0,80,0,3
147,42,0,2,7,2,0,1,0,0,40,0,2
148,55,0,2,7,5,3,0,0,0,40,0,2
149,60,14,1,8,0,0,1,0,0,48,1,0
150,31,6,2,2,2,0,1,7688,0,40,1,0
151,23,6,1,0,1,0,0,0,0,40,0,0
152,27,0,1,4,1,0,1,0,0,40,0,0
153,23,1,1,7,4,2,0,0,0,25,0,2
154,42,12,2,2,2,0,1,0,1902,50,1,4
155,25,1,1,10,0,0,1,2174,0,40,0,0
156,49,6,1,2,0,0,0,0,0,45,0,0
157,32,6,1,10,0,0,1,0,0,40,0,0
158,19,1,1,0,1,0,1,0,0,28,0,0
159,60,14,0,11,0,0,0,0,0,40,0,0
160,42,2,2,11,2,0,1,0,0,40,0,5
161,35,5,1,9,0,0,1,0,0,40,0,4
162,48,0,1,0,4,1,0,0,0,37,0,0
163,51,8,2,3,2,0,1,0,0,40,1,0
164,29,0,1,3,0,2,1,0,0,40,0,0
165,36,0,5,5,0,1,1,0,0,40,0,5
166,17,9,1,11,1,0,0,0,0,21,0,0
167,52,8,0,2,0,0,0,6849,0,60,0,0
168,24,0,1,3,0,0,1,0,0,40,0,0
169,24,0,2,12,2,0,1,0,0,50,0,0
170,26,6,1,2,1,0,1,1055,0,40,0,5
171,27,6,1,11,1,0,0,0,0,20,0,0
172,39,0,1,12,1,0,1,0,0,60,0,0
173,30,0,2,8,2,1,1,0,0,45,0,0
174,50,0,2,5,2,0,1,0,0,32,0,4
175,52,6,2,4,2,0,1,0,0,55,0,3
176,46,12,2,2,2,0,1,15024,0,45,1,0
177,23,6,1,4,1,0,0,0,0,20,0,0
178,45,3,3,11,0,1,0,0,0,20,0,0
179,65,2,3,14,4,1,0,0,0,24,0,0
180,29,4,2,8,2,0,1,0,0,55,0,0
181,47,2,4,12,4,0,1,0,0,40,0,0
182,30,0,1,9,1,1,1,0,0,60,0,0
183,34,0,2,4,2,0,1,0,0,45,1,0
184,38,0,2,4,2,0,1,0,0,64,0,4
185,33,1,2,5,2,0,1,0,0,40,1,0
186,49,6,2,4,2,0,1,0,0,26,1,0
187,47,1,1,11,4,1,0,0,0,40,0,4
188,49,9,5,11,4,1,0,0,0,40,0,5
189,43,1,2,3,2,0,1,15024,0,60,1,0
190,30,6,2,0,5,1,0,0,0,40,1,0
191,58,0,2,3,2,0,1,0,0,60,0,4
192,19,0,1,11,1,0,0,0,0,14,0,0
193,21,6,1,12,0,0,1,0,0,40,0,0
194,33,6,2,5,2,0,1,15024,0,60,1,0
195,47,11,2,8,2,0,1,0,0,50,0,3
196,52,13,2,2,2,0,1,0,0,60,1,4
197,26,0,0,3,0,0,1,0,0,55,0,0
198,60,0,2,3,2,0,1,0,0,40,0,0
199,21,1,1,12,1,0,1,0,0,40,0,0
200,36,1,2,4,2,0,1,5178,0,50,1,0
201,31,1,2,3,2,0,1,0,0,45,0,0
202,50,13,5,2,0,0,1,0,0,40,1,3
203,31,0,0,0,4,0,0,0,0,40,0,5
204,71,0,2,3,2,0,1,0,0,15,0,0
205,58,0,2,7,2,0,1,0,0,50,0,2
206,30,6,2,10,2,0,1,0,0,40,1,6
207,20,1,1,11,1,0,1,0,0,20,0,0
208,24,0,1,5,3,0,1,4101,0,50,0,0
209,35,13,2,2,2,3,1,0,0,40,1,0
210,38,1,5,5,0,0,0,0,0,45,0,6
211,27,0,1,6,1,0,0,0,0,32,0,0
212,29,1,1,0,4,3,0,0,0,40,0,6
213,70,2,3,7,4,0,0,1111,0,15,0,2
214,34,0,2,3,2,0,1,0,0,45,0,0
215,44,14,2,3,2,0,1,0,0,35,0,0
216,43,0,2,6,2,0,1,0,0,40,1,0
217,44,10,2,12,2,1,1,0,0,40,1,4
218,35,8,1,4,0,0,1,0,0,60,0,0
219,27,1,1,2,0,0,1,0,0,40,0,0
220,43,8,1,2,0,0,1,0,0,38,0,5
221,20,1,1,4,0,0,0,0,0,25,0,0
222,42,5,0,2,4,0,0,8614,0,40,1,0
223,27,1,2,8,2,0,1,3411,0,40,0,6
224,42,0,2,3,2,1,1,0,0,40,1,0
225,20,3,4,7,1,3,0,0,1762,40,0,2
226,24,2,1,6,0,0,1,0,1721,40,0,0
227,48,1,0,5,0,0,1,0,0,40,0,1
228,17,3,1,7,1,0,0,0,0,20,0,2
229,17,3,1,9,1,0,1,0,0,10,0,4
230,33,6,2,5,2,0,1,0,0,40,1,0
231,50,0,2,4,2,0,1,0,0,50,1,3
232,22,0,1,4,1,0,0,2597,0,40,0,0
233,17,10,1,11,1,0,1,0,0,16,0,0
234,32,1,2,0,2,0,1,0,0,40,0,0
235,31,0,1,3,0,0,1,0,0,45,0,0
236,58,0,3,5,0,0,1,0,0,50,0,4
237,29,0,1,13,1,0,1,0,0,48,0,5
238,37,4,2,3,2,0,1,0,0,40,1,0
239,34,0,2,3,2,0,1,0,0,40,1,4
240,23,1,5,5,4,1,1,0,0,40,0,5
241,18,3,1,0,1,0,0,0,0,5,0,6
242,34,0,0,5,0,0,0,0,0,40,0,0
243,66,14,1,7,0,0,1,0,0,4,0,2
244,45,6,2,2,5,0,0,0,0,55,0,5
245,41,8,1,5,0,0,1,0,0,35,0,0
246,26,0,1,11,3,0,1,0,0,30,0,0
247,54,1,2,9,2,0,1,0,0,40,0,5
248,24,1,1,6,1,1,0,0,0,45,0,0
249,42,1,2,2,2,0,1,0,0,50,0,0
250,20,1,1,2,1,0,1,0,0,20,0,0
251,23,6,1,10,0,0,0,0,0,20,0,6
252,25,5,1,7,3,0,1,0,0,45,0,2
253,35,8,1,2,0,0,1,0,0,60,1,0
254,31,8,2,10,2,0,1,0,1902,40,1,0
255,30,6,1,2,1,0,0,0,0,40,0,0
256,19,0,1,4,1,0,0,0,0,20,0,0
257,36,6,1,2,0,0,1,0,0,50,0,5
258,31,6,3,4,4,0,0,0,1380,40,0,0
259,21,1,1,12,1,0,1,0,0,30,0,0
260,31,1,2,3,2,0,1,0,0,40,0,4
261,46,13,0,2,4,0,0,25236,0,65,1,0
262,44,6,0,5,1,0,0,0,0,50,1,0
263,40,10,2,11,2,1,1,0,0,40,0,0
264,45,1,1,4,0,1,1,0,0,40,0,0
265,60,0,2,3,2,0,1,0,0,35,0,0
266,18,3,1,11,3,0,1,0,0,25,0,0
267,28,6,2,2,2,0,1,0,0,40,0,0
268,36,1,0,0,4,1,0,0,0,40,0,0
269,40,4,2,10,2,0,1,4386,0,40,0,0
270,36,6,0,0,4,0,0,0,0,35,0,5
271,31,0,5,11,4,1,0,0,0,40,0,0
272,33,0,2,6,2,0,1,0,0,40,0,0
273,19,0,1,10,1,0,0,0,0,40,0,6
274,22,1,1,4,1,0,0,0,0,15,0,0
275,34,6,2,5,2,0,1,0,0,45,1,0
276,33,0,1,11,0,0,1,0,0,40,0,0
277,41,0,2,3,2,0,1,0,2051,60,0,0
278,29,6,1,2,0,0,1,4650,0,40,0,0
279,50,0,2,5,2,0,1,0,0,42,1,5
280,42,6,2,5,2,0,1,7298,0,45,1,0
281,44,0,2,4,5,0,0,0,0,40,0,0
282,20,1,1,11,0,0,0,0,0,20,0,0
283,31,0,2,11,2,0,1,0,0,40,0,0
284,23,1,1,11,0,0,0,0,0,24,0,0
285,55,1,0,0,0,3,0,0,0,40,0,0
286,26,4,2,0,2,0,1,0,2377,45,0,0
287,25,4,1,11,1,0,0,0,0,15,0,0
288,45,1,2,7,5,1,0,0,0,40,0,2
289,35,1,2,3,2,0,1,2407,0,40,0,0
290,36,1,1,4,0,1,0,0,0,36,0,0
291,43,6,2,2,2,0,1,0,0,50,0,6
292,56,0,3,11,4,1,0,594,0,20,0,0
293,42,6,2,10,2,0,1,0,0,40,1,0
294,19,1,1,11,3,0,0,0,0,25,0,0
295,55,0,2,8,2,0,1,0,0,72,0,4
296,42,8,1,5,0,0,0,14084,0,50,1,0
297,26,4,1,10,1,0,1,0,0,40,0,0
298,17,10,1,12,1,0,1,0,0,20,0,0
299,42,6,2,2,5,0,0,0,0,40,1,5
300,55,0,2,8,2,0,1,7688,0,40,1,0
301,32,1,1,0,1,1,0,0,0,40,0,0
302,29,3,1,3,1,1,1,0,0,40,0,0
303,46,6,2,2,2,0,1,0,0,37,0,6
304,29,6,2,5,2,0,1,7688,0,40,1,6
305,22,6,1,2,4,0,1,0,0,20,0,0
306,58,9,2,3,2,0,1,0,0,40,0,4
307,23,0,1,8,4,0,1,0,0,50,0,0
308,39,0,1,12,0,0,1,0,0,40,0,0
309,27,4,1,3,1,0,1,0,0,38,0,0
310,54,0,2,8,2,0,1,0,0,40,1,0
311,33,6,1,2,0,0,0,0,0,45,0,5
312,46,0,2,0,5,0,0,0,0,40,1,1
313,37,0,1,9,0,1,1,0,0,40,0,0
314,36,0,1,11,0,0,0,0,0,18,0,0
315,59,0,2,0,5,0,0,0,0,38,1,5
316,34,0,0,13,4,0,1,0,0,40,0,5
317,53,13,2,5,2,0,1,0,0,70,1,3
318,51,6,1,4,0,0,1,0,0,55,1,0
319,32,9,5,11,4,0,0,0,0,42,0,0
320,31,1,4,11,3,0,1,0,0,40,0,6
321,22,1,2,4,5,0,0,0,0,30,0,0
322,47,6,0,4,0,0,0,0,0,50,0,4
323,32,0,1,6,0,0,1,0,0,40,0,0
324,26,1,1,9,0,0,0,0,0,38,0,0
325,37,11,5,9,0,0,1,0,0,32,0,0
326,31,0,0,3,4,0,1,0,0,55,0,0
327,37,4,2,10,5,0,0,0,0,24,1,0
328,55,0,1,4,0,0,1,0,0,38,0,0
329,23,4,0,10,0,0,1,0,0,56,0,5
330,36,1,0,0,4,0,0,0,0,40,0,0
331,43,6,2,4,2,0,1,0,0,50,1,0
332,54,1,1,10,0,0,1,0,0,40,0,0
333,28,4,1,6,0,0,0,0,1669,42,0,0
334,40,4,2,5,2,0,1,0,0,50,1,0
335,41,1,2,5,2,0,1,0,0,60,0,4
336,40,6,1,4,0,4,0,0,0,55,1,0
337,42,1,0,0,0,1,0,0,0,38,0,0
338,61,0,2,9,2,0,1,0,2352,50,0,4
339,18,10,1,6,1,0,1,0,0,30,0,0
340,59,0,2,7,2,0,1,0,0,16,0,2
341,21,0,1,7,0,0,0,1055,0,40,0,2
342,48,4,2,10,2,0,1,0,0,50,1,0
343,41,6,2,10,2,0,1,0,0,40,0,3
344,18,1,1,7,1,0,1,0,0,33,0,2
345,23,0,1,4,0,0,0,2463,0,40,0,0
346,60,0,2,8,2,0,1,0,0,60,1,0
347,22,1,1,11,3,1,1,0,0,20,0,0
348,61,0,2,6,2,0,1,0,0,40,0,0
349,25,0,1,6,0,1,1,0,0,40,0,0
350,46,8,1,10,0,0,1,0,0,35,1,0
351,43,6,2,5,2,0,1,0,1902,40,1,0
352,43,5,0,3,0,0,1,0,0,40,0,0
353,24,0,1,11,1,1,1,0,1721,30,0,0
354,68,3,1,9,4,0,1,0,0,20,0,4
355,31,0,0,0,4,0,0,0,0,38,0,0
356,17,3,1,4,1,0,0,0,0,20,0,0
357,32,0,2,3,2,0,1,5178,0,48,1,0
358,50,8,4,7,3,0,1,0,0,40,0,2
359,33,6,2,2,2,0,1,3103,0,47,1,0
360,64,6,2,2,2,0,1,0,0,40,1,0
361,20,0,1,8,1,0,1,0,0,30,0,0
362,30,0,5,11,1,0,0,0,0,36,0,0
363,22,1,1,7,1,1,1,0,0,40,0,2
364,43,1,0,5,0,0,1,0,0,45,0,0
365,22,1,1,0,1,0,1,0,0,40,0,0
366,17,9,1,9,1,0,1,0,0,20,0,0
367,47,0,2,11,5,0,0,0,0,75,0,4
368,41,4,1,2,0,0,0,0,0,60,0,0
369,56,1,2,3,2,0,1,0,0,50,1,0
370,64,0,2,8,2,0,1,0,0,45,0,0
371,47,0,2,8,2,0,1,0,0,50,1,0
372,48,4,1,0,4,0,1,0,0,40,0,0
373,31,8,1,2,0,0,0,0,0,46,0,0
374,29,4,1,10,1,0,1,0,0,40,0,0
375,30,0,3,0,0,0,0,0,0,40,0,0
376,32,0,2,5,2,0,1,0,1672,60,0,0
377,57,0,3,8,4,0,1,0,653,42,1,0
378,62,0,3,11,0,0,0,0,0,40,0,0
379,39,0,5,6,4,0,0,0,0,24,0,0
380,43,1,1,0,0,0,1,0,0,25,0,0
381,24,6,1,4,1,0,1,0,0,40,0,3
382,42,3,2,7,2,0,1,0,0,15,0,2
383,53,1,2,0,5,0,0,4386,0,40,1,0
384,26,1,1,12,1,0,1,0,0,40,0,0
385,73,0,2,5,2,0,1,0,0,40,0,4
386,72,3,3,7,0,0,0,0,0,24,0,2
387,55,0,2,6,2,0,1,0,0,40,0,0
388,25,0,0,0,0,0,1,0,0,40,0,0
389,41,6,0,2,0,0,0,0,0,50,1,0
390,24,6,1,5,0,0,1,0,0,50,0,0
391,63,0,3,9,0,0,1,0,0,6,0,0
392,17,3,1,4,1,0,1,0,0,20,0,0
393,35,1,2,3,2,0,1,0,0,50,0,0
394,51,1,2,2,2,0,1,0,0,40,1,0
395,62,6,3,2,0,0,0,0,0,48,0,5
396,55,0,2,3,2,0,1,4386,0,40,1,0
397,43,1,0,2,0,0,1,0,0,40,0,0
398,40,0,0,11,0,0,0,0,0,50,0,5
399,37,6,2,5,2,0,1,0,0,45,1,0
400,39,6,2,3,2,0,1,0,0,40,0,0
401,31,0,1,3,1,0,1,0,0,18,0,0
402,61,8,3,2,0,0,0,0,0,40,1,0
403,26,4,0,0,0,0,0,0,0,55,0,0
404,46,0,2,4,2,0,1,0,0,50,0,4
405,26,6,1,2,0,0,0,0,0,40,0,0
406,48,13,0,2,1,0,1,0,0,50,1,6
407,34,0,1,8,1,0,1,0,0,40,0,0
408,34,0,1,0,1,0,0,0,0,40,0,5
409,59,0,2,11,2,0,1,0,0,40,1,0
410,34,6,1,2,1,0,0,0,0,40,0,0
411,49,6,1,5,0,0,0,0,0,56,1,0
412,18,3,1,0,1,0,0,0,0,20,0,0
413,43,0,2,9,2,0,1,0,0,40,0,0
414,48,3,2,5,2,0,1,0,0,50,0,0
415,28,1,2,5,2,0,1,0,0,70,0,3
416,33,0,2,6,2,0,1,0,0,40,0,0
417,24,1,1,4,0,0,0,0,0,15,0,0
418,21,9,1,12,0,0,1,0,0,40,0,0
419,17,3,1,4,1,0,1,0,0,28,0,0
420,39,1,2,9,2,0,1,0,0,50,1,0
421,29,6,5,2,1,0,1,0,0,40,0,4
422,44,6,2,5,2,0,1,0,0,40,1,0
423,24,1,1,8,1,0,1,0,0,50,0,0
424,71,8,2,4,2,0,1,10605,0,40,1,4
425,51,6,2,4,2,3,1,0,2415,40,1,4
426,55,11,0,11,4,1,1,0,0,25,0,0
427,41,6,2,5,2,0,1,0,0,60,1,0
428,23,0,1,12,4,1,0,0,0,7,0,0
429,38,4,0,0,4,0,0,0,0,40,0,0
430,39,0,2,8,2,0,1,0,0,40,1,0
431,19,0,1,0,0,0,0,0,0,30,0,0
432,49,2,0,6,0,0,0,0,0,40,0,0
433,32,6,2,0,3,0,1,0,0,40,1,0
434,27,0,2,3,2,0,1,0,0,70,0,0
435,38,6,2,4,2,0,1,0,0,50,1,0
436,33,1,2,3,5,0,0,0,0,60,0,0
437,63,1,2,7,2,0,1,0,0,15,0,2
438,23,6,1,5,1,0,1,0,0,28,0,0
439,54,0,2,4,2,1,1,0,0,40,0,4
440,29,4,0,10,0,0,0,2174,0,45,0,0
441,48,1,0,7,4,1,0,0,0,30,0,2
442,35,6,1,5,0,0,1,0,0,40,0,4
443,28,4,2,0,5,3,0,0,0,40,0,0
444,37,6,2,2,2,0,1,7688,0,50,1,0
445,42,12,2,9,2,0,1,0,0,65,1,4
446,40,8,2,2,2,0,1,0,0,40,0,0
447,47,1,0,4,1,0,1,0,0,55,0,0
448,22,6,1,5,1,0,0,0,0,50,0,0
449,30,6,2,5,2,0,1,0,0,45,1,0
450,28,0,2,10,2,0,1,0,0,40,0,0
451,63,14,2,11,2,0,1,0,0,55,0,5
452,51,2,2,3,2,0,1,0,0,20,0,4
453,22,0,1,12,1,0,0,0,0,40,0,0
454,27,5,2,7,1,2,1,0,0,40,0,2
455,35,0,1,4,0,0,1,0,0,45,0,0
456,46,0,0,6,0,0,0,0,0,38,0,0
457,37,1,0,6,0,0,1,0,0,52,0,0
458,24,6,1,2,1,1,1,0,0,15,0,0
459,37,0,0,12,1,0,1,0,0,10,0,4
460,53,1,2,10,2,0,1,0,0,40,0,0
461,27,0,1,4,0,0,1,0,0,30,0,0
462,38,1,0,3,0,0,1,0,0,44,0,0
463,53,9,2,9,2,0,1,0,0,60,0,4
464,34,1,1,3,0,0,1,0,0,40,0,0
465,23,0,1,4,1,1,1,0,0,40,0,0
466,39,6,2,5,2,0,1,15024,0,45,1,0
467,43,8,2,2,5,3,0,0,0,50,0,0
468,67,0,2,5,2,3,1,0,0,40,1,3
469,81,0,2,5,2,0,1,0,0,30,0,4
470,21,1,1,11,1,0,1,0,0,20,0,0
471,23,1,1,4,0,0,1,0,0,25,0,0
472,25,1,1,8,4,0,1,0,0,40,0,0
473,42,11,2,6,5,0,0,0,0,38,0,0
474,38,1,2,0,5,1,0,0,0,40,0,0
475,64,0,2,7,2,0,1,0,0,5,0,2
476,32,0,2,6,2,0,1,0,0,40,0,0
477,37,0,2,6,2,0,1,0,0,40,0,0
478,51,8,2,5,2,0,1,0,0,60,1,0
479,22,1,1,4,0,0,0,0,0,42,0,0
480,33,7,4,14,0,0,0,0,0,40,0,0
481,42,0,0,6,0,0,1,0,0,55,0,0
482,19,1,1,7,1,0,0,0,0,10,0,2
483,51,15,2,11,2,0,1,0,0,40,0,5
484,23,0,2,0,5,0,0,0,0,40,0,0
485,37,3,2,6,2,0,1,3103,0,44,1,0
486,37,0,2,3,2,0,1,0,0,99,1,0
487,47,8,1,2,0,0,0,0,0,25,0,0
488,41,12,2,2,2,0,1,0,2415,40,1,0
489,33,0,2,3,2,0,1,0,0,30,0,0
490,31,6,1,4,0,0,1,0,0,40,1,0
491,31,5,0,11,4,2,0,0,0,40,0,0
492,35,0,2,6,2,1,1,0,0,40,0,0
493,38,0,2,5,2,0,1,0,0,40,1,3
494,18,0,1,11,0,0,0,0,0,45,0,0
495,20,0,2,6,2,0,1,0,0,40,0,0
496,54,1,0,5,4,1,0,0,0,35,0,5
497,40,1,0,0,4,0,0,0,0,40,0,0
498,36,6,2,5,5,0,0,0,1977,45,1,3
499,43,1,0,3,4,0,1,0,0,35,0,0
500,44,1,0,9,4,0,1,0,0,40,0,4
501,44,0,2,2,5,0,0,0,0,40,1,6
502,43,8,2,5,2,0,1,0,0,43,1,0
503,51,14,3,11,4,1,0,0,0,40,0,0
504,18,0,1,11,1,0,0,0,0,20,0,0
505,51,1,2,5,2,0,1,0,0,40,0,0
506,44,1,2,4,2,0,1,0,0,70,1,3
507,33,9,0,8,0,0,1,0,0,40,0,5
508,33,6,2,5,2,0,1,0,0,40,1,4
509,42,5,2,5,2,0,1,0,0,40,1,0
510,25,1,2,2,2,0,1,0,0,45,0,0
511,32,0,0,6,0,0,0,0,0,38,0,0
512,32,6,2,3,2,0,1,0,0,70,0,0
513,36,9,0,5,4,0,0,0,0,40,0,0
514,28,0,2,8,2,0,1,0,0,40,0,0
515,20,0,1,11,1,0,0,0,0,20,0,0
516,35,1,2,4,2,0,1,0,0,60,1,3
517,55,0,2,3,2,0,1,0,0,20,0,4
518,48,6,2,5,2,3,1,0,0,40,1,0
519,36,4,3,7,0,0,0,0,0,20,0,2
520,34,0,2,3,2,0,1,0,0,35,1,0
521,28,6,1,10,0,0,0,0,0,35,0,0
522,67,6,3,5,0,0,1,0,2392,40,1,0
523,37,0,2,3,2,0,1,0,0,40,0,0
524,44,0,1,8,4,0,1,0,0,70,0,0
525,25,1,1,4,0,0,0,0,0,40,0,0
526,21,1,1,5,0,0,0,4101,0,40,0,0
527,40,8,2,2,2,0,1,0,0,35,1,6
528,78,0,3,11,0,1,0,2964,0,40,0,0
529,34,0,0,12,1,0,1,0,0,40,0,0
530,49,0,1,0,0,0,0,0,0,44,0,0
531,22,5,1,0,0,0,0,0,0,40,0,0
