,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,target
89,2647,9.5,6.5,71.5,24.0,3.0,0.0,0.0,0
90,2579,10.0,7.0,71.0,30.0,3.0,0.0,0.0,0
91,657,10.0,6.5,79.0,30.5,3.0,0.0,0.0,0
92,516,10.0,7.0,82.0,27.0,7.0,0.0,0.0,0
93,414,10.0,7.0,82.0,27.0,7.0,0.0,0.0,0
94,206,10.0,7.0,85.0,24.0,7.0,0.0,0.0,0
95,123,11.0,11.0,82.0,26.0,4.0,0.0,0.0,0
96,56,11.5,11.5,85.0,24.0,3.0,0.0,0.0,0
97,51,12.0,12.0,82.0,25.0,3.0,0.0,0.0,0
98,33,12.0,12.0,85.0,22.0,3.0,0.0,0.0,0
99,32,12.0,12.0,88.0,20.5,7.0,0.0,0.0,0
100,87,12.0,12.0,80.0,20.5,7.0,0.0,0.0,0
101,511,11.5,11.5,74.5,17.0,3.0,0.0,0.0,0
102,982,10.5,9.5,82.5,17.0,7.0,0.0,0.0,0
103,1228,9.5,7.5,87.5,14.0,7.0,0.0,0.0,0
104,573,9.0,7.0,87.0,13.0,7.0,0.0,0.0,0
105,185,9.0,7.0,87.0,14.0,7.0,0.0,0.0,0
106,193,9.0,6.0,82.0,20.5,7.0,0.0,0.0,0
107,522,9.0,6.5,84.5,17.0,2.0,0.0,0.0,0
108,672,9.0,5.5,79.0,27.0,2.0,0.0,0.0,0
109,761,10.0,7.0,71.0,22.0,2.0,0.0,0.0,0
110,781,9.0,6.0,71.0,22.0,2.0,0.0,0.0,0
111,1212,9.0,6.0,71.0,19.5,2.0,0.0,0.0,0
112,2351,9.0,6.0,76.0,22.0,2.0,0.0,0.0,0
113,2110,8.5,5.5,73.5,22.5,1.0,0.0,0.0,0
114,1239,8.0,5.0,73.5,20.5,1.0,0.0,0.0,0
115,752,8.0,5.0,76.0,17.0,1.0,0.0,0.0,0
116,457,8.0,4.5,76.0,20.5,1.0,0.0,0.0,0
117,423,8.5,5.5,73.5,21.0,1.0,0.0,0.0,0
118,267,9.0,5.5,76.0,27.0,2.0,0.0,0.0,0
119,147,10.0,7.0,71.0,28.0,2.0,0.0,0.0,0
120,60,10.0,7.0,73.5,30.0,7.0,0.0,0.0,0
121,65,10.0,6.5,79.0,29.5,7.0,0.0,0.0,0
122,42,11.0,11.0,79.5,29.0,3.0,0.0,0.0,0
123,47,11.0,11.0,85.0,33.0,3.0,0.0,0.0,0
124,85,11.5,11.5,85.0,33.0,3.0,0.0,0.0,0
125,441,12.0,12.0,82.0,32.5,3.0,0.0,0.0,0
126,1593,12.0,12.0,82.0,31.5,3.0,0.0,0.0,0
127,3505,12.0,12.0,79.5,25.0,2.0,0.0,0.0,0
128,1768,12.0,12.0,74.5,30.0,2.0,0.0,0.0,0
129,799,12.5,12.5,69.5,29.5,1.0,0.0,0.0,0
130,806,13.0,13.0,67.0,28.0,1.0,0.0,0.0,0
131,1052,13.0,13.0,67.0,26.0,1.0,0.0,0.0,0
132,1078,13.0,13.0,63.0,30.0,1.0,0.0,0.0,0
133,976,13.0,13.0,63.0,26.0,2.0,0.0,0.0,0
134,912,13.5,13.5,67.5,33.5,7.0,0.0,0.0,0
135,1229,13.0,13.0,79.5,37.0,7.0,0.0,0.0,0
136,2409,13.5,13.5,85.0,35.0,7.0,0.0,0.0,0
137,1983,15.0,15.0,82.0,36.0,7.0,0.0,0.0,0
138,1094,15.5,15.5,77.0,41.0,7.0,0.0,0.0,0
139,686,15.0,15.0,72.0,44.0,3.0,0.0,0.0,0
140,443,15.0,15.0,68.0,41.0,3.0,0.0,0.0,0
141,464,15.0,15.0,68.0,40.0,3.0,0.0,0.0,0
142,420,14.0,14.0,77.0,41.5,4.0,0.0,0.0,0
143,392,14.0,14.0,77.0,39.0,4.0,0.0,1.0,0
144,277,14.0,14.0,77.0,40.0,4.0,0.0,1.0,0
145,189,14.0,14.0,72.0,40.5,3.0,0.0,1.0,0
146,153,13.0,13.0,77.0,41.0,3.0,0.0,1.0,0
147,90,13.0,13.0,77.0,36.0,3.0,0.0,1.0,0
148,52,13.0,13.0,77.0,35.0,3.0,0.0,1.0,0
149,69,13.0,13.0,82.0,35.0,7.0,0.0,1.0,0
150,143,13.0,13.0,79.5,35.0,3.0,0.0,1.0,0
151,321,14.0,14.0,74.5,40.0,3.0,0.0,1.0,0
152,619,14.0,14.0,77.0,48.0,3.0,0.0,1.0,0
153,757,14.0,14.0,74.5,41.0,7.0,0.0,1.0,0
154,800,11.5,11.5,67.5,42.5,3.0,0.0,1.0,0
155,1191,11.5,11.5,58.0,41.5,2.0,0.0,1.0,0
156,1395,10.5,8.5,54.0,38.0,3.0,0.0,1.0,0
157,1358,9.0,4.5,54.0,42.5,3.0,0.0,1.0,0
158,1436,9.0,5.0,48.0,35.0,2.0,0.0,1.0,0
159,1270,8.0,4.0,51.5,27.0,1.0,0.0,1.0,0
160,1054,8.0,4.0,51.5,29.0,2.0,0.0,1.0,0
161,849,7.0,3.0,55.0,26.0,1.0,0.0,1.0,0
162,720,6.0,2.0,57.0,26.0,1.0,0.0,1.0,0
163,556,6.0,2.0,57.0,25.0,1.0,0.0,1.0,0
164,349,6.0,2.0,57.0,21.0,1.0,0.0,1.0,0
165,335,5.0,1.0,66.0,20.0,1.0,0.0,1.0,0
166,334,5.0,1.0,66.0,19.5,1.0,0.0,1.0,0
167,360,4.5,0.5,72.5,22.0,1.0,0.0,1.0,0
168,255,4.0,-0.5,75.0,22.0,1.0,0.0,1.0,0
169,198,4.0,-0.5,75.0,23.0,1.0,0.0,1.0,0
170,135,4.0,-1.0,75.0,27.0,2.0,0.0,1.0,0
171,74,4.0,-1.0,72.5,28.0,1.0,0.0,1.0,0
172,57,4.0,-1.0,70.0,27.0,1.0,0.0,1.0,0
173,67,4.5,0.0,68.0,24.0,1.0,0.0,1.0,0
174,93,5.0,1.0,66.0,24.0,1.0,0.0,1.0,0
175,241,5.0,0.0,66.0,29.5,1.0,0.0,1.0,0
176,538,5.5,0.5,63.5,29.0,1.0,0.0,1.0,0
177,922,6.5,2.0,61.0,30.0,1.0,0.0,1.0,0
178,1248,7.5,3.5,59.0,27.0,1.0,0.0,1.0,0
179,1555,8.5,4.5,55.5,27.0,1.0,0.0,1.0,0
180,1813,9.0,5.0,56.0,28.0,2.0,0.0,1.0,0
181,1639,9.0,5.0,60.0,28.0,2.0,0.0,1.0,0
182,1464,8.5,5.0,64.0,26.0,3.0,0.0,1.0,0
183,1097,8.0,4.5,66.0,23.0,3.0,0.0,1.0,0
184,827,8.0,5.0,71.0,20.5,7.0,0.0,1.0,0
185,519,8.0,4.0,73.5,25.0,7.0,0.0,1.0,0
186,493,8.0,4.0,73.5,24.0,3.0,0.0,1.0,0
187,315,8.0,4.5,71.0,26.0,7.0,0.0,1.0,0
188,260,8.0,4.0,71.0,30.0,7.0,0.0,1.0,0
189,237,9.0,5.0,66.0,37.0,7.0,0.0,1.0,0
190,168,9.0,5.0,71.0,30.5,3.0,0.0,1.0,0
191,117,9.0,5.0,68.5,29.0,2.0,0.0,0.0,0
192,45,10.0,6.0,60.0,34.0,4.0,0.0,0.0,0
193,29,10.0,7.0,64.5,30.0,4.0,0.0,0.0,0
194,36,10.0,6.5,67.0,30.5,3.0,0.0,0.0,0
195,26,10.0,6.5,67.0,33.5,3.0,0.0,0.0,0
196,86,10.0,6.0,67.0,35.0,3.0,0.0,0.0,0
197,433,10.0,6.0,73.5,31.0,7.0,0.0,0.0,0
198,1541,10.0,7.0,76.0,30.0,7.0,0.0,0.0,0
199,3418,10.0,6.0,76.0,31.0,3.0,0.0,0.0,0
200,1832,11.5,11.5,67.0,32.5,3.0,0.0,0.0,0
201,723,12.0,12.0,67.0,33.0,3.0,0.0,0.0,0
202,654,12.0,12.0,74.5,39.0,3.0,0.0,0.0,0
203,700,12.0,12.0,79.5,29.5,3.0,0.0,0.0,0
204,631,12.0,12.0,79.5,29.5,3.0,0.0,0.0,0
205,520,12.5,12.5,77.0,33.0,7.0,0.0,0.0,0
206,374,12.0,12.0,82.0,25.0,7.0,0.0,0.0,0
207,669,12.0,12.0,82.0,22.5,7.0,0.0,0.0,0
208,1510,11.5,11.5,88.0,22.0,7.0,0.0,0.0,0
209,1186,11.0,11.0,94.0,22.0,7.0,0.0,0.0,0
210,1136,11.5,11.5,85.0,22.0,7.0,0.0,0.0,0
211,753,12.0,12.0,82.0,20.0,4.0,0.0,0.0,0
212,510,12.0,12.0,85.0,18.5,7.0,0.0,0.0,0
213,184,12.0,12.0,88.0,21.0,7.0,0.0,0.0,0
214,86,12.0,12.0,88.0,23.0,7.0,0.0,0.0,0
215,64,12.0,12.0,88.0,25.0,7.0,0.0,0.0,0
216,29,12.0,12.0,88.0,30.0,7.0,0.0,0.0,0
217,21,11.5,11.5,88.0,24.5,7.0,0.0,0.0,0
218,13,11.0,11.0,85.0,19.0,7.0,0.0,0.0,0
219,33,11.0,11.0,82.0,21.0,7.0,0.0,0.0,0
220,113,10.5,9.0,79.5,21.0,7.0,0.0,0.0,0
221,600,10.0,7.5,82.0,20.5,2.0,0.0,0.0,0
222,1584,9.5,6.5,79.0,21.0,7.0,0.0,0.0,0
223,3960,9.0,6.5,71.0,16.0,2.0,0.0,0.0,0
224,2090,9.0,6.0,71.0,18.0,2.0,0.0,0.0,0
225,960,9.0,6.5,71.0,17.5,1.0,0.0,0.0,0
226,866,9.0,6.0,68.5,18.0,2.0,0.0,0.0,0
227,1019,9.5,6.5,64.0,20.5,7.0,0.0,0.0,0
228,719,9.0,5.5,73.5,27.5,7.0,0.0,0.0,0
229,811,8.5,4.5,71.0,29.0,7.0,0.0,0.0,0
230,883,8.0,4.5,73.5,21.5,2.0,0.0,0.0,0
231,1391,7.5,4.0,68.5,23.0,2.0,0.0,0.0,0
232,2886,7.0,3.0,71.0,22.0,2.0,0.0,0.0,0
233,2659,7.0,4.5,71.0,14.0,7.0,0.0,0.0,0
234,1548,6.0,2.5,76.0,19.5,7.0,0.0,0.0,0
235,947,5.5,1.5,76.0,21.0,2.0,0.0,0.0,0
236,660,5.0,1.0,76.0,23.0,2.0,0.0,0.0,0
237,501,5.0,2.0,76.0,17.0,1.0,0.0,0.0,0
238,340,5.0,1.0,70.0,19.5,1.0,0.0,0.0,0
239,168,5.0,0.5,66.0,26.0,1.0,0.0,0.0,0
240,79,5.0,0.0,66.0,30.0,1.0,0.0,0.0,0
241,60,5.0,0.5,66.0,24.0,1.0,0.0,0.0,0
242,54,4.5,0.5,72.5,21.0,1.0,0.0,0.0,0
243,44,4.5,1.5,72.5,14.0,1.0,0.0,0.0,0
244,93,5.0,1.5,70.0,17.5,1.0,0.0,0.0,0
245,560,5.0,1.0,70.0,23.0,3.0,0.0,0.0,0
246,1820,4.5,-1.0,68.0,30.5,2.0,0.0,0.0,0
247,3904,4.0,-1.0,70.0,26.0,2.0,0.0,0.0,0
248,2064,4.5,-0.5,68.0,29.0,2.0,0.0,0.0,0
249,841,5.0,0.0,70.0,30.5,2.0,0.0,0.0,0
250,732,5.5,1.0,65.5,27.0,2.0,0.0,0.0,0
251,1013,6.5,2.5,59.0,27.0,2.0,0.0,0.0,0
252,1066,7.0,3.0,57.0,24.0,2.0,0.0,0.0,0
253,913,7.0,3.5,55.0,22.0,2.0,0.0,0.0,0
254,969,7.0,4.0,55.0,18.0,1.0,0.0,0.0,0
255,1365,7.0,4.5,59.0,16.0,1.0,0.0,0.0,0
256,2638,7.5,4.5,64.0,16.0,2.0,0.0,0.0,0
257,1974,8.0,4.5,71.0,21.5,2.0,0.0,0.0,0
258,1254,9.0,5.5,71.0,27.0,3.0,0.0,0.0,0
259,885,10.0,6.0,69.0,31.0,3.0,0.0,0.0,0
260,537,10.0,6.0,71.0,38.0,7.0,0.0,0.0,0
261,344,9.5,5.5,76.5,39.0,7.0,0.0,0.0,0
262,188,10.0,6.0,79.0,40.0,26.0,0.0,0.0,0
263,91,10.0,6.0,82.0,40.0,7.0,0.0,0.0,0
264,66,11.0,11.0,79.5,40.0,26.0,0.0,0.0,0
265,25,11.0,11.0,82.0,44.5,26.0,0.0,0.0,0
266,23,11.5,11.5,79.5,45.0,7.0,0.0,0.0,0
267,23,11.0,11.0,77.0,37.0,26.0,0.0,0.0,0
268,62,10.0,6.5,79.0,31.5,7.0,0.0,0.0,0
269,481,9.5,5.5,73.5,29.5,7.0,0.0,0.0,0
270,1692,9.0,6.0,73.5,23.0,2.0,0.0,0.0,0
271,3673,9.0,6.0,66.0,21.0,1.0,0.0,0.0,0
272,1941,9.0,6.0,73.5,19.5,2.0,0.0,0.0,0
273,844,9.0,6.0,76.0,21.0,2.0,0.0,0.0,0
274,729,9.0,6.0,66.0,26.0,2.0,0.0,0.0,0
275,835,8.5,5.0,71.0,25.0,7.0,0.0,0.0,0
276,1005,9.0,5.0,64.0,32.5,2.0,0.0,0.0,0
277,828,9.0,5.0,60.0,30.5,2.0,0.0,0.0,0
278,912,9.0,5.0,52.0,36.0,2.0,0.0,0.0,0
279,1249,8.0,4.0,53.0,29.0,2.0,0.0,0.0,0
280,2524,7.5,3.5,55.0,29.5,2.0,0.0,0.0,0
281,2480,7.0,3.0,57.0,29.5,2.0,0.0,0.0,0
282,1353,8.0,4.0,51.5,29.5,2.0,0.0,0.0,0
283,810,7.0,2.0,51.0,34.0,2.0,0.0,0.0,0
284,591,6.5,1.5,57.0,32.0,1.0,0.0,0.0,0
285,430,6.5,1.5,59.0,33.0,2.0,0.0,0.0,0
286,301,7.0,3.0,57.0,29.5,1.0,0.0,0.0,0
287,208,7.0,3.0,53.0,31.0,1.0,0.0,0.0,0
288,117,7.0,3.0,53.0,27.5,1.0,0.0,0.0,0
289,71,6.5,2.5,59.0,22.0,1.0,0.0,0.0,0
290,59,6.5,2.5,59.0,25.0,1.0,0.0,0.0,0
291,46,6.5,3.0,55.0,20.5,1.0,0.0,0.0,0
292,88,6.5,3.0,55.0,20.5,1.0,0.0,0.0,0
293,471,7.0,4.0,55.0,18.5,1.0,0.0,0.0,0
294,1648,7.0,4.5,59.0,15.0,7.0,0.0,0.0,0
295,3546,7.0,4.5,61.0,15.0,3.0,0.0,0.0,0
296,1980,6.0,3.0,71.0,13.0,2.0,0.0,0.0,0
297,878,6.5,3.5,68.5,17.0,2.0,0.0,0.0,0
298,795,6.0,2.5,76.0,19.5,2.0,0.0,0.0,0
299,994,6.0,3.0,73.5,17.0,2.0,0.0,0.0,0
300,1122,7.0,4.0,68.5,15.0,2.0,0.0,0.0,0
301,941,7.0,4.5,66.0,15.0,2.0,0.0,0.0,0
302,1104,7.0,4.0,66.0,15.0,2.0,0.0,0.0,0
303,1149,6.0,2.0,68.5,23.5,7.0,0.0,0.0,0
304,2348,5.5,2.5,76.0,14.0,2.0,0.0,0.0,0
305,2002,5.0,1.5,73.0,16.0,3.0,0.0,0.0,0
306,1183,4.0,1.0,72.5,12.0,1.0,0.0,0.0,0
307,693,4.0,2.0,72.5,9.0,1.0,0.0,0.0,0
308,473,3.0,0.0,75.0,11.0,1.0,0.0,0.0,0
309,386,2.5,-1.5,72.5,15.0,1.0,0.0,0.0,0
310,361,2.5,-1.0,81.0,12.0,1.0,0.0,0.0,0
311,328,2.0,-2.0,81.0,13.0,1.0,0.0,1.0,0
312,220,2.0,-1.5,81.0,12.0,1.0,0.0,1.0,0
313,199,1.0,-3.0,81.0,14.0,1.0,0.0,1.0,0
314,144,1.0,-3.0,81.0,15.0,1.0,0.0,1.0,0
315,76,1.0,-2.0,81.0,10.0,1.0,0.0,1.0,0
316,68,0.5,-2.5,77.5,8.0,1.0,0.0,1.0,0
317,70,0.5,-3.0,77.5,10.0,1.0,0.0,1.0,0
318,154,1.5,-2.5,72.5,16.0,1.0,0.0,1.0,0
319,350,2.5,-1.5,67.5,15.0,1.0,0.0,1.0,0
320,682,3.5,-0.5,65.0,16.0,1.0,0.0,1.0,0
321,784,4.0,0.0,70.0,21.0,7.0,0.0,1.0,0
322,998,5.0,1.5,73.0,18.5,7.0,0.0,1.0,0
323,1360,6.5,3.5,73.5,17.0,2.0,0.0,1.0,0
324,1421,6.0,2.5,73.5,20.5,2.0,0.0,1.0,0
325,1531,7.0,4.0,66.0,17.0,2.0,0.0,1.0,0
326,1527,6.0,3.0,71.0,18.0,1.0,0.0,1.0,0
327,1257,6.0,3.0,71.0,15.0,1.0,0.0,1.0,0
328,997,5.0,2.5,76.0,10.0,1.0,0.0,1.0,0
329,765,5.0,2.0,76.0,13.0,1.0,0.0,1.0,0
330,719,5.0,2.0,76.0,12.0,1.0,0.0,1.0,0
331,525,5.0,3.0,81.0,9.0,1.0,0.0,1.0,0
332,415,5.0,2.5,76.0,10.0,1.0,0.0,1.0,0
333,328,5.0,3.0,76.0,7.0,2.0,0.0,1.0,0
334,350,5.0,2.5,78.5,9.0,7.0,0.0,1.0,0
335,383,5.0,3.0,76.0,7.0,2.0,0.0,1.0,0
336,268,5.0,3.5,76.0,6.5,7.0,0.0,1.0,0
337,268,5.0,3.0,81.0,8.0,7.0,0.0,1.0,0
338,140,4.5,3.0,84.0,6.5,7.0,0.0,1.0,0
339,73,4.0,4.0,87.0,0.0,7.0,0.0,1.0,0
340,53,4.0,3.5,90.0,5.0,7.0,0.0,1.0,0
341,54,4.0,3.5,90.0,5.0,7.0,0.0,1.0,0
342,97,4.0,3.5,87.0,5.0,7.0,0.0,1.0,0
343,210,4.0,3.5,93.0,5.0,2.0,0.0,1.0,0
344,406,4.0,2.5,90.0,6.5,7.0,0.0,1.0,0
345,693,4.0,2.0,87.0,9.0,7.0,0.0,1.0,0
346,906,4.0,1.5,84.0,9.0,4.0,0.0,1.0,0
347,1244,4.0,1.0,81.0,12.0,2.0,0.0,1.0,0
348,1401,4.0,1.0,81.0,12.0,2.0,0.0,1.0,0
349,1313,4.0,1.0,75.0,14.0,2.0,0.0,1.0,0
350,1450,4.0,1.0,75.0,13.0,2.0,0.0,1.0,0
351,1111,3.0,2.0,81.0,6.0,2.0,0.0,1.0,0
352,844,3.0,3.0,81.0,4.0,1.0,0.0,1.0,0
353,694,2.0,0.0,87.0,6.5,1.0,0.0,1.0,0
354,510,2.0,-0.5,87.0,8.0,1.0,0.0,1.0,0
355,370,1.5,0.5,87.0,5.5,1.0,0.0,1.0,0
356,265,1.0,1.0,87.0,4.0,1.0,0.0,1.0,0
357,249,1.0,1.0,87.0,4.0,1.0,0.0,1.0,0
358,197,0.5,-1.5,90.0,6.0,1.0,0.0,1.0,0
359,128,0.0,-3.0,93.0,8.0,1.0,0.0,0.0,0
360,57,0.5,-2.5,93.0,8.0,2.0,0.0,0.0,0
361,30,1.0,0.0,93.0,5.5,2.0,0.0,0.0,0
362,32,0.5,-0.5,93.0,3.5,2.0,0.0,0.0,0
363,36,0.5,-1.0,93.0,4.5,3.0,0.0,0.0,0
364,88,1.0,-1.0,93.0,6.5,3.0,0.0,0.0,0
365,472,1.0,-1.0,90.0,7.0,3.0,0.0,0.0,0
366,1695,1.0,-1.0,90.0,6.5,2.0,0.0,0.0,0
367,3554,2.0,-0.5,84.0,7.5,3.0,0.0,0.0,0
368,1828,2.0,-0.5,87.0,8.0,3.0,0.0,0.0,0
369,794,3.0,1.0,75.0,7.5,2.0,0.0,0.0,0
370,688,3.5,3.0,72.5,3.0,2.0,0.0,0.0,0
371,923,4.0,1.5,70.0,9.0,2.0,0.0,0.0,0
372,913,4.0,2.0,70.0,8.0,2.0,0.0,0.0,0
373,815,5.0,3.5,66.0,7.5,3.0,0.0,0.0,0
374,908,5.0,4.0,63.5,6.0,3.0,0.0,0.0,0
375,1257,4.0,2.5,67.5,6.5,3.0,0.0,0.0,0
376,2774,3.5,2.5,72.5,6.0,2.0,0.0,0.0,0
377,2543,3.5,2.5,72.5,6.0,3.0,0.0,0.0,0
378,1442,3.5,1.5,72.5,7.0,3.0,0.0,0.0,0
379,893,3.0,1.5,75.0,6.5,3.0,0.0,0.0,0
380,561,2.5,1.5,78.0,5.5,3.0,0.0,0.0,0
381,356,2.0,1.0,75.0,3.0,2.0,0.0,0.0,0
382,247,2.0,2.0,81.0,2.0,3.0,0.0,0.0,0
383,85,1.0,0.0,87.0,3.0,3.0,0.0,0.0,0
384,49,0.5,-1.0,90.0,6.5,1.0,0.0,0.0,0
385,40,0.0,-1.0,93.0,3.0,1.0,0.0,0.0,0
386,18,-0.5,-0.5,90.0,4.0,1.0,0.0,0.0,0
387,32,-1.0,-2.0,93.0,3.0,1.0,0.0,0.0,0
388,80,-0.5,-0.5,93.0,4.0,2.0,0.0,0.0,0
389,520,-1.0,-2.0,93.0,5.0,1.0,0.0,0.0,0
390,1791,-1.0,-3.5,96.5,6.5,1.0,0.0,0.0,0
391,3700,-0.5,-3.5,96.5,7.0,1.0,0.0,0.0,0
392,1818,0.0,-3.0,93.0,9.0,1.0,0.0,0.0,0
393,806,1.0,0.0,87.0,5.0,2.0,0.0,0.0,0
394,636,2.5,1.0,78.0,6.0,2.0,0.0,0.0,0
395,894,3.5,1.0,78.0,9.0,1.0,0.0,0.0,0
396,966,4.5,2.0,72.5,9.0,2.0,0.0,0.0,0
397,806,5.0,2.0,68.0,11.0,2.0,0.0,0.0,0
398,897,4.0,1.0,75.0,13.0,2.0,0.0,0.0,0
399,1287,4.0,1.0,78.0,13.0,3.0,0.0,0.0,0
400,2683,4.0,1.0,78.0,12.0,1.0,0.0,0.0,0
401,2624,4.0,1.0,75.0,12.0,1.0,0.0,0.0,0
402,1448,4.0,1.0,72.5,13.0,1.0,0.0,0.0,0
403,758,4.0,1.0,70.0,14.0,2.0,0.0,0.0,0
