,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat,target
22,1,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1
23,1,1,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,2,1
24,1,0,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1
25,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0
26,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1
27,0,1,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,2,1
28,3,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1
29,0,0,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,3,3,1
30,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,2,1
31,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
32,0,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1
33,0,1,0,0,2,0,0,1,3,0,3,0,2,0,0,0,0,0,0,1,4,4,1
34,1,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1
35,0,2,1,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,0,1,3,3,1
36,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
37,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,0,2,1,0,1,0,1,0,3,1,2,0,0,0,0,0,0,0,0,1,3,3,1
39,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
40,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
41,0,1,1,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,4,4,1
42,0,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1
43,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,1,0
44,0,0,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,2,1
45,0,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
46,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
47,0,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,2,1
48,0,1,1,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,0,1,0,4,1
49,3,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,0,4,1
50,0,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,0,1,1
51,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
52,1,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1
53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
54,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
55,1,1,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1
56,3,2,3,1,3,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,1,1
57,1,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,1,1
58,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
59,0,1,0,0,1,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,4,4,1
60,2,2,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
61,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1
62,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1
63,1,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,2,1
64,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
65,3,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1,1
66,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
67,3,1,1,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,1,0,1,1
68,0,1,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1
69,0,2,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1
70,3,2,1,0,2,0,1,0,3,1,2,0,0,0,0,0,0,0,0,1,3,3,1
71,1,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1
72,3,2,1,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,0,1,3,3,1
73,0,1,0,0,1,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,0,4,1
74,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
75,3,0,1,0,2,0,1,0,3,1,2,0,0,0,0,0,0,0,0,1,3,3,1
76,0,0,2,0,2,0,1,0,1,1,2,0,0,0,0,0,0,0,0,2,3,3,1
77,3,1,0,0,2,0,0,1,3,0,3,0,2,0,0,0,0,0,0,1,4,4,1
78,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,0,0
79,3,1,0,0,1,0,0,1,1,0,3,0,2,0,0,0,0,0,0,1,4,1,1
80,0,0,0,1,3,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1
81,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,3,2,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1
83,0,2,3,1,3,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1
84,0,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,0,1,1
85,0,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
86,1,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1
87,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
88,3,1,0,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,4,1,1
89,2,2,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,1
90,0,2,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1
91,1,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
92,0,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1
93,0,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2,1
94,0,0,0,1,3,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,1,1
95,0,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1
96,3,1,0,0,2,0,0,1,3,0,3,0,2,0,0,0,0,0,0,1,0,1,1
97,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
98,1,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1
99,0,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1
100,0,2,0,1,3,0,1,1,3,1,0,1,0,0,0,0,0,0,1,0,0,1,1
101,1,0,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
102,3,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,1,0,1,1
103,0,1,1,0,1,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,4,4,1
104,1,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1
105,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1
106,0,1,1,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,1,4,1,1
107,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1
108,1,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1
109,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1
110,0,0,1,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1
111,2,2,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1
112,0,2,2,0,1,0,1,0,4,1,2,0,0,0,0,0,0,0,0,2,3,3,1
113,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1
114,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0
115,0,1,1,0,2,0,0,1,3,0,3,0,2,0,0,0,0,0,0,1,0,1,1
116,2,2,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,4,0,1
117,0,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,4,1,1
118,0,0,1,0,2,0,1,0,3,1,2,0,0,0,0,0,0,0,0,2,3,3,1
119,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1
120,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
121,0,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,2,1
122,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0
123,3,0,3,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1,1
124,0,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1
125,0,0,2,1,3,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1
126,1,0,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,1,1
127,3,2,3,1,3,0,1,1,5,1,0,0,0,0,0,0,0,0,1,1,2,1,1
128,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
129,1,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1
130,1,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1
131,1,1,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,2,1
132,3,0,2,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,0,2,3,3,1
133,0,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1
134,3,0,2,0,1,0,1,0,3,1,2,0,0,0,0,0,0,0,0,1,3,3,1
135,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,3,0,0
136,3,2,2,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,0,1,3,3,1
137,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
138,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,1,0
139,1,0,1,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,1,1
140,0,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,4,4,1
141,1,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2,1
142,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
143,3,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,4,4,1
144,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
145,0,2,3,1,3,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1
146,3,2,2,1,3,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,2,1,1
147,0,1,1,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,2,1
148,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
149,1,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2,1
150,0,1,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1
151,0,0,0,1,3,0,1,1,3,1,0,1,0,0,0,0,0,0,1,1,2,1,1
152,0,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1
153,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
154,0,0,2,0,1,0,1,0,4,1,2,0,0,0,0,0,0,0,0,2,3,3,1
155,0,1,0,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,0,1,1
156,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
157,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
158,1,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1
159,1,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1
160,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1
161,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1
162,0,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1
163,3,1,0,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,0,1,4,1,1
164,0,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
165,3,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,1,4,4,1
166,1,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1
167,1,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,2,1
168,0,1,0,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,4,1,1
169,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
170,0,2,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,1
171,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
172,0,2,1,0,2,0,1,0,1,1,2,0,0,0,0,0,0,0,0,2,3,3,1
173,1,1,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1
174,3,1,1,0,2,0,0,1,3,0,3,0,2,0,0,0,0,0,0,1,0,1,1
175,1,1,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,2,1
176,1,1,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1
177,1,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1
178,0,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,2,1
179,1,0,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1
180,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0
181,2,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,1
182,3,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1
183,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1
184,3,1,0,0,1,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,0,4,1
185,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
186,1,0,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1
187,3,2,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1
188,1,1,1,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1
189,0,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,1,4,4,1
190,0,2,2,1,3,0,1,1,3,1,0,0,1,0,0,0,0,0,1,0,0,1,1
191,0,0,2,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,0,1,3,3,1
192,1,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,2,1
193,3,0,1,0,1,0,1,0,4,1,2,0,0,0,0,0,0,0,0,1,3,3,1
194,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1
195,3,2,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,1
196,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
197,0,0,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,2,1
198,0,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1
199,3,0,2,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,3,3,1
200,0,1,1,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1
201,1,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1
202,0,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1
203,0,2,2,1,3,0,1,1,5,1,0,1,0,0,0,0,0,0,1,0,0,1,1
204,3,1,0,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,4,4,1
205,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
206,1,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
207,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
208,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
209,1,1,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,1,1
210,0,0,1,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1
211,1,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,2,1
212,0,2,1,0,1,0,1,0,1,1,2,0,0,0,0,0,0,0,0,1,3,3,1
213,0,2,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,1
214,3,1,1,0,1,0,0,1,1,0,3,0,2,0,0,0,0,0,0,1,0,1,1
215,1,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1
216,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1
217,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
218,0,1,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1
219,2,2,3,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1
220,0,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1
221,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
222,0,1,1,0,1,0,0,1,1,0,3,0,2,0,0,0,0,0,0,1,0,1,1
223,3,2,2,0,1,0,1,0,3,1,2,0,0,0,0,0,0,0,0,1,3,3,1
224,0,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,2,1
225,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
226,0,0,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1
227,0,0,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,1
228,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0
229,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
230,0,2,3,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1
231,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,0,1,1,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,0,1,4,4,1
233,3,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
234,1,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
235,0,2,2,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,0,1,3,3,1
236,0,1,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1
237,1,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
238,0,1,1,0,2,0,0,1,1,0,3,0,2,0,0,0,0,0,0,0,0,1,1
239,3,1,1,0,1,0,0,1,3,0,3,0,2,0,0,0,0,0,0,0,0,4,1
240,3,1,1,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,4,4,1
241,0,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1
242,0,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,2,1
243,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0
244,3,2,2,0,1,0,1,0,3,1,2,0,0,0,0,0,0,0,0,2,3,3,1
245,0,0,2,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,1
246,0,0,2,0,2,0,1,0,3,1,2,0,0,0,0,0,0,0,0,2,3,3,1
247,0,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1
248,3,1,1,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,0,4,4,1
249,0,0,0,1,3,0,1,1,3,1,0,1,0,0,0,0,0,0,1,0,0,1,1
250,3,1,1,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,1,4,1,1
251,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0
252,2,2,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,3,0,1
253,1,1,1,0,2,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,2,1
254,1,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1
255,1,1,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1
256,3,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1
257,0,0,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,1,2,1
258,1,1,2,0,2,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,1,1
259,1,1,2,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,1,2,1
260,3,1,0,0,2,0,0,1,4,0,3,0,2,0,0,0,0,0,0,1,0,1,1
261,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
262,0,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1
263,0,1,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,2,1
264,3,2,2,0,2,0,1,0,4,1,2,0,0,0,0,0,0,0,0,2,3,3,1
265,3,2,3,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1
266,3,0,3,1,3,0,1,1,3,1,0,0,0,0,0,0,0,0,1,0,2,1,1
267,0,1,1,0,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,2,1
268,1,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,1
269,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1
271,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0
272,0,1,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
273,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1
274,3,1,1,0,1,0,0,1,1,0,3,0,2,0,0,0,0,0,0,1,0,4,1
275,0,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,1,0,4,1
276,3,1,0,0,1,0,0,1,4,0,3,0,2,0,0,0,0,0,0,1,4,1,1
277,0,1,2,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,1,1,2,1
278,3,2,0,1,3,0,1,1,5,1,0,0,0,0,0,0,0,0,1,0,0,1,1
279,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1
280,0,1,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0
281,1,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,1
282,2,2,0,1,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,3,0,1
283,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1
284,1,1,2,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,1
